specie  value  fit  A  B  C  D  E
NaCl[l]  dg  Stock  7.37233E+04  -1.54521E+00  -1.85137E+01  3.57868E-03  -4.27705E-07
KCl[s]  pvap  poly  -2.69250E+04  3.39574E+01  -2.04903E-03  -2.83957E-07  1.82974E-10
KCl[s]  pvap  Woitke?  3.06849E+01  -2.58290E+04  -3.10611E+00  0  0
KCl[s]  dg  poly  -1.40032E+05 -6.46441E+05  2.44735E+02  -5.80046E-03  -2.08712E-06
KCl[s]  dg  Stock  7.78330E+04  -1.19411E+00  -2.36285E+01  4.13891E-03  -7.85812E-07
KCl[l]  pvap  Yaws  -8.0224  -9.3722E+03  6.4641E+00  -3.1639E-03  3.2745E-07
KCl[l]  pvap  poly  -2.53357E+04  3.55589E+01  -7.28441E-03  2.45727E-06  -3.78244E-10
KCl[l]  pvap  Woitke?  2.58149E+01  -2.02949E+04  -3.57341E+01  0  0
KCl[l]  dg  poly  -1.71861E+06  -6.23325E+05  2.34478E+02  -2.03889E-02  2.30200E-06
KCl[l]  dg  Stock  7.70357E+04  3.48201E+00  -5.19754E+01  5.04751E-17  3.30323E-08
LiH[s]  pvap  poly  -2.76405E+04  3.07600E+01  3.06028E-03  -3.26876E-06  7.70757E-10
LiH[s]  pvap  Woitke?  3.09884E+01  -2.74293E+04  -7.26793E-01  0  0
LiH[s]  dg  poly  6.02546E+05  -4.72625E+05  2.42351E+02  9.47412E-04  -4.70881E-06
LiH[s]  dg  Stock  5.56967E+04  -1.30557E+00  -1.82640E+01  -1.94177E-03  1.55078E-06
LiH[l]  pvap  poly  -2.66115E+04  3.45915E+01  -6.34712E-03  2.30270E-06  -3.65328E-10
LiH[l]  pvap  Woitke?  2.65460E+01  -2.25325E+04  -2.67268E+01  0  0
LiH[l]  dg  poly  -1.21618E+06  -4.48826E+05  2.28063E+02  -1.39469E-02  1.61445E-06
LiH[l]  dg  Stock  5.45101E+04  -1.50911E+00  -1.98570E+01  4.74720E-03  -8.19502E-07
