# P [bar], T [K]
100.0 647.862787713
94.6352468882 637.828319928
89.558299536 627.945510152
84.7537178748 618.212179241
80.2068901578 608.626176007
75.9039885222 599.18549928
71.831926936 589.889302207
67.9783214004 580.735433217
64.3314522878 571.721770981
60.8802286993 562.846224041
57.6141547357 554.106730445
54.5232975767 545.501257377
51.5982572733 537.027800798
48.8301381607 528.684385086
46.2105218042 520.469062683
43.7314413977 512.379913736
41.3853575345 504.41504575
39.1651352784 496.572638827
37.0640224648 488.850908308
35.0756291663 481.248035567
33.1939082591 473.76222822
31.4131370329 466.391719781
29.7278997864 459.134769325
28.1330713575 451.989661148
26.6238015365 444.954294636
25.1955003151 438.02687181
23.8438239279 431.205784146
22.5646616418 424.489445652
21.3541232542 417.876292587
20.2085272624 411.364783195
19.1243896672 404.953397438
18.0984133775 398.64033313
17.1274781826 392.423058236
16.2086312639 386.30019859
15.3390782137 380.27039738
14.516174538 374.332315001
13.7374176127 368.484628897
13.0004390739 362.726033419
12.3029976141 357.055239665
11.6429721668 351.470975338
11.0183554552 345.969986579
10.427247888 340.550443151
9.86785178246 335.211276304
9.3384658969 329.951427376
8.8374802571 324.769847814
8.36337126001 319.665499183
7.91469704009 314.637353181
7.49009308434 309.684391644
7.08826808253 304.805606545
6.708 300.0
5.976 289.8
5.305 279.5
4.689 269.2
4.122 259.0
3.706 250.7
3.414 244.4
3.138 238.2
2.877 231.8
2.631 225.5
2.402 219.4
2.186 212.9
1.983 206.4
1.795 200.2
1.676 196.0
1.562 191.7
1.455 187.3
1.352 182.9
1.255 178.8
1.162 174.3
1.074 170.1
0.9904 165.4
0.9115 161.3
0.8373 156.9
0.767 152.4
0.7006 147.6
0.6386 144.3
0.5807 141.7
0.5272 139.0
0.4782 136.6
0.4324 134.0
0.3906 131.3
0.3517 128.3
0.316 125.1
0.2832 121.7
0.2531 118.3
0.2252 115.0
0.1999 112.1
0.177 109.9
0.1563 108.8
0.138 108.7
