Temperature	Pressure
K	bar
2943.00380876	0.0001
2943.00380876	0.000141253754462
2942.02410706	0.000199526231497
2956.54421589	0.000281838293126
2989.6068072	0.000398107170553
3025.8778585	0.00056234132519
3064.45530245	0.000794328234724
3099.65220811	0.0011220184543
3130.05142136	0.00158489319246
3154.42537052	0.00223872113857
3171.68566886	0.00316227766017
3181.37748881	0.00446683592151
3182.8568522	0.0063095734448
3175.01891817	0.00891250938134
3156.06831891	0.0125892541179
3125.26812673	0.0177827941004
3085.10332341	0.0251188643151
3039.18033181	0.0354813389234
2993.11625849	0.0501187233627
2951.2880253	0.0707945784384
2915.98342516	0.1
2888.9118291	0.141253754462
2870.78444315	0.199526231497
2860.40102551	0.281838293126
2856.07469335	0.398107170553
2856.80810629	0.56234132519
2862.05814817	0.794328234724
2871.10410221	1.1220184543
2881.79104912	1.58489319246
2891.19725143	2.23872113857
2897.61053774	3.16227766017
2901.68809758	4.46683592151
2905.22223049	6.3095734448
2909.09097732	8.91250938134
2913.1195541	12.5892541179
2916.75602991	17.7827941004
2919.7363735	25.1188643151
2922.36018716	35.4813389234
2925.4262562	50.1187233627
2930.0645618	70.7945784384
2937.63341574	100.0
2950.03882975	141.253754462
2970.28359219	199.526231497
3001.93790114	281.838293126
3048.7739948	398.107170553
3117.13303266	562.34132519
3215.43284925	794.328234724
3354.33726373	1122.0184543
