level, P(bar), T(K),  CH4, H2O, NH3, CO, N2, H, H2, He, H-, e-
 38  0.15069E+01  148.27 0.488E-03 0.238E-10 0.823E-04 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.753E-99
 39  0.18971E+01  159.77 0.489E-03 0.373E-09 0.133E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.612E-99
 40  0.23885E+01  172.13 0.489E-03 0.469E-08 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.472E-99
 41  0.30071E+01  185.34 0.489E-03 0.475E-07 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.333E-99
 42  0.37860E+01  199.44 0.489E-03 0.395E-06 0.108E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.633-100
 43  0.45000E+01  210.62 0.489E-03 0.170E-05 0.113E-03 0.105E-19 0.403E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.125E-81
 44  0.55000E+01  224.28 0.489E-03 0.825E-05 0.121E-03 0.105E-19 0.151E-18 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.249E-81
 45  0.66000E+01  237.35 0.489E-03 0.311E-04 0.128E-03 0.105E-19 0.380E-18 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.337E-81
 46  0.81000E+01  252.83 0.489E-03 0.121E-03 0.135E-03 0.105E-19 0.109E-17 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.314E-75
 47  0.10000E+02  269.69 0.489E-03 0.458E-03 0.135E-03 0.105E-19 0.110E-16 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.220E-74
 48  0.11976E+02  284.91 0.489E-03 0.656E-03 0.135E-03 0.105E-19 0.687E-16 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.212E-69
 49  0.15078E+02  305.51 0.489E-03 0.754E-03 0.135E-03 0.105E-19 0.602E-15 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.946E-56
 50  0.18983E+02  327.49 0.489E-03 0.754E-03 0.135E-03 0.105E-19 0.454E-14 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.459E-55
 51  0.23899E+02  350.97 0.489E-03 0.754E-03 0.135E-03 0.105E-19 0.288E-13 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.824E-55
 52  0.30089E+02  376.07 0.489E-03 0.753E-03 0.135E-03 0.105E-19 0.156E-12 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.119E-54
 53  0.37882E+02  402.91 0.489E-03 0.753E-03 0.135E-03 0.111E-19 0.732E-12 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.160E-34
 54  0.44693E+02  423.32 0.489E-03 0.753E-03 0.135E-03 0.145E-19 0.215E-11 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.107E-33
 55  0.51046E+02  440.46 0.489E-03 0.753E-03 0.135E-03 0.164E-19 0.487E-11 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.157E-33
 56  0.58598E+02  458.98 0.489E-03 0.753E-03 0.135E-03 0.173E-19 0.109E-10 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.190E-33
 57  0.65178E+02  473.80 0.489E-03 0.752E-03 0.135E-03 0.170E-19 0.196E-10 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.203E-33
 58  0.72000E+02  488.08 0.489E-03 0.752E-03 0.135E-03 0.161E-19 0.332E-10 0.105E-19 0.837E+00 0.162E+00 0.105E-19 0.205E-33
 59  0.80864E+02  505.27 0.489E-03 0.752E-03 0.135E-03 0.240E-19 0.605E-10 0.162E-19 0.837E+00 0.162E+00 0.105E-19 0.293E-26
 60  0.90132E+02  521.89 0.489E-03 0.752E-03 0.135E-03 0.975E-19 0.105E-09 0.586E-19 0.837E+00 0.162E+00 0.105E-19 0.105E-25
 61  0.95068E+02  530.25 0.489E-03 0.752E-03 0.135E-03 0.189E-18 0.137E-09 0.108E-18 0.837E+00 0.162E+00 0.105E-19 0.134E-25
