level, P(bar), T(K),  CH4, H2O, NH3, CO, N2, H, H2, He, H-, e-
 38  0.15069E+01  184.97 0.246E-02 0.896E-07 0.532E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.188-114
 39  0.18971E+01  199.05 0.246E-02 0.748E-06 0.533E-03 0.105E-19 0.108E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.157-108
 40  0.23885E+01  214.05 0.246E-02 0.518E-05 0.576E-03 0.105E-19 0.270E-18 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.306E-87
 41  0.30071E+01  230.03 0.246E-02 0.302E-04 0.623E-03 0.105E-19 0.484E-17 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.528E-87
 42  0.37860E+01  247.03 0.246E-02 0.151E-03 0.669E-03 0.105E-19 0.519E-16 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.704E-87
 43  0.45000E+01  260.50 0.246E-02 0.460E-03 0.676E-03 0.105E-19 0.335E-15 0.105E-19 0.833E+00 0.163E+00 0.105E-19 0.243E-79
 44  0.55000E+01  276.96 0.245E-02 0.143E-02 0.676E-03 0.105E-19 0.279E-14 0.105E-19 0.833E+00 0.162E+00 0.105E-19 0.164E-73
 45  0.66000E+01  292.74 0.245E-02 0.269E-02 0.675E-03 0.105E-19 0.166E-13 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.128E-72
 46  0.81000E+01  311.45 0.245E-02 0.378E-02 0.674E-03 0.105E-19 0.110E-12 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.403E-43
 47  0.10000E+02  331.87 0.245E-02 0.378E-02 0.674E-03 0.105E-19 0.671E-12 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.654E-43
 48  0.11976E+02  350.34 0.245E-02 0.355E-02 0.675E-03 0.105E-19 0.282E-11 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.859E-43
 49  0.15078E+02  375.39 0.245E-02 0.354E-02 0.675E-03 0.105E-19 0.153E-10 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.986E-43
 50  0.18983E+02  402.19 0.245E-02 0.378E-02 0.674E-03 0.124E-19 0.720E-10 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.908E-35
 51  0.23899E+02  430.85 0.245E-02 0.378E-02 0.674E-03 0.741E-19 0.318E-09 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.868E-34
 52  0.30089E+02  461.53 0.245E-02 0.378E-02 0.674E-03 0.293E-18 0.124E-08 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.101E-33
 53  0.37882E+02  494.36 0.245E-02 0.378E-02 0.674E-03 0.794E-18 0.424E-08 0.105E-19 0.831E+00 0.162E+00 0.105E-19 0.123E-33
 54  0.44693E+02  519.35 0.245E-02 0.378E-02 0.674E-03 0.490E-17 0.993E-08 0.512E-19 0.831E+00 0.162E+00 0.105E-19 0.431E-26
 55  0.51046E+02  540.34 0.245E-02 0.378E-02 0.673E-03 0.264E-16 0.190E-07 0.245E-18 0.831E+00 0.162E+00 0.105E-19 0.797E-26
 56  0.58598E+02  563.01 0.245E-02 0.378E-02 0.673E-03 0.140E-15 0.360E-07 0.114E-17 0.831E+00 0.162E+00 0.105E-19 0.109E-25
 57  0.65178E+02  581.14 0.245E-02 0.378E-02 0.673E-03 0.480E-15 0.573E-07 0.351E-17 0.831E+00 0.162E+00 0.105E-19 0.126E-25
 58  0.72000E+02  598.61 0.245E-02 0.378E-02 0.673E-03 0.146E-14 0.870E-07 0.964E-17 0.831E+00 0.162E+00 0.105E-19 0.138E-25
 59  0.80864E+02  619.65 0.245E-02 0.378E-02 0.673E-03 0.508E-14 0.138E-06 0.297E-16 0.831E+00 0.162E+00 0.105E-19 0.147E-25
 60  0.90132E+02  639.97 0.245E-02 0.378E-02 0.673E-03 0.156E-13 0.209E-06 0.809E-16 0.831E+00 0.162E+00 0.105E-19 0.150E-25
 61  0.95068E+02  650.19 0.245E-02 0.378E-02 0.674E-03 0.266E-13 0.254E-06 0.131E-15 0.831E+00 0.162E+00 0.105E-19 0.887E-24

