H  0.006 
C  0.006 
N  8.8E-05 
O  44.42  
F  0.002 
S  0.027 
Cl 0.004 
Fe 6.27 
Mn 0.11 
Si 21.61 
Mg 22.01 
Ca 2.46 
Al 2.12 
Na 0.29 
K  0.02 
Ti 0.12 
P  0.008
Cr 0.29
