H	0.045
C	1.2
N	0.006
O	41.0
F	0.053
Na	2.36
Mg	18.0
Al	0.27
Si	18.0
P	0.22
S	3.3
Cl	0.047
K	2.14
Ca	6.9
Ti	0.401
Cr	0.013
Mn	0.072
Fe	10.0
