H	1.97
C	1.2
N	0.295
O	41.0
F	0.00582
Na	0.499
Mg	18.0
Al	0.27
Si	18.0
P	0.22
S	3.3
Cl	0.0698
K	0.0544
Ca	6.9
Ti	0.0451
Cr	0.265
Mn	0.193
Fe	10
