H He C N O Na Mg Si Fe Al Ca Ti S Cl K Li el
207
H2          1  H  2
 4   1.4582094542818170e+05  -5.7987092092088233e+00   6.2078616034659717e-01   1.6324094591440574e-03  -8.0994449429711916e-08  
CH4         2  H  C  4  1
 4   1.9784584536781305e+05  -8.8316803072239054e+00   5.2793066855988400e+00   2.7567674752936866e-03  -1.3966691995535711e-07 
CO2         2  C  O  1  2
 4   1.9284060511825030e+05  -2.7725941201250066e+00  -1.4374508628203330e+01   9.5527761423722102e-04  -5.3273135070236439e-08 
C2H4        2  H  C  4  2
 4   2.6866440067437058e+05  -9.5290027440737504e+00  -5.6685246168344747e+00   3.1935734050733688e-03  -1.6635299458562689e-07 
C2H4O       3  H  C  O  4  2  1
 1  -1.77284E+02  6.38428E+01 -7.87837E-02  1.44061E-03 -1.03504E-05
C2O         2  C  O  2  1
 1  -5.89915E+01  3.34363E+01  8.53143E-03 -1.67350E-03  5.09408E-05
C3O2        2  C  O  3  2
 4   3.2901417780728219e+05  -3.7631542986940758e+00  -3.8914164055922811e+01   1.6137208969881911e-03  -9.4275474922200200e-08 
OH          2  H  O  1  1
 4   5.0958643649479585e+04  -1.8665653657169798e+00   1.2829583232116875e+00   3.2761222577039339e-04  -1.2789492018780104e-08 
HO2         2  H  O  1  2
 1  -5.76079E+01  1.76926E+01 -1.14840E-01  6.32410E-03 -1.40491E-04
HCN         3  H  C  N  1  1  1
 4  1.5220770936532610e+05  -3.2044022899036122e+00  -6.2670328370286370e+00   9.8433301098929671e-04  -5.1782570298829157e-08 
CN          2  C  N  1  1
 4   9.0232426994015768e+04  -1.7586117933869616e+00  -1.5608772470914118e+00   4.2086237996528941e-04  -1.5974146878223620e-08 
C2N         2  C  N  2  1
 4   1.6205377826499325e+05  -1.3595968401578489e+00  -2.0180281057635057e+01   5.2725678598564141e-04  -3.5603201693733741e-08 
C2N2        2  C  N  2  2
 4   2.4828345487105011e+05  -2.8456169431084390e+00  -2.7762611594288956e+01   1.1282589272390564e-03  -6.7278054871632888e-08 
NH          2  H  N  1  1
 4   3.7248327035153532e+04  -1.8531562475619836e+00   1.8046889146803551e+00   3.6104225557757885e-04  -1.4247785696544651e-08 
HNO         3  H  N  O  1  1  1
 4   1.0018536332898334e+05  -3.4638083393344630e+00  -2.6221291411177390e+00   9.4525073408319171e-04  -5.1408832575578270e-08 
NH2         2  H  N  2  1
 4   8.5274384129014303e+04  -4.0609088589772568e+00   4.0142473237988270e+00   9.4625723063820888e-04  -3.8448013311658913e-08 
NO          2  N  O  1  1
 4   7.5524335768524819e+04  -1.6648500768990004e+00  -1.6140921992578114e+00   4.1307683569626052e-04  -2.3749224146743510e-08 
NO2         2  N  O  1  2
 4  1.1214942460778740e+05  -2.8249443194595756e+00  -1.0203950342764756e+01   8.3697742323110558e-04  -4.9283218795120417e-08 
N2O         2  N  O  2  1
 1  -6.02939E+01  2.70275E+01 -3.14034E-02  1.04561E-03 -1.65800E-05
H+          2 el  H -1  1
 4  -1.5781252265890539e+05   2.4992447354491105e+00  -1.4909391712601973e+01   4.2674331157677159e-07  -2.7731753320513089e-11 
H-          2 el  H  1  1
 4   8.7523766678444208e+03  -2.5007686019576738e+00   1.3533601599552753e+01   3.3935862759834623e-07  -2.3082577741670992e-11 
C-          2 el  C  1  1
 1  -2.33769E+01  5.05827E+00 -2.88324E-01  1.90568E-02 -4.61682E-04
CHNO        4  H  C  N  O  1  1  1  1
 1  -8.87055E+01  4.32948E+01 -8.48295E-02  3.79865E-03 -7.44644E-05
HCO+        4 el  H  C  O -1  1  1  1
 4   4.2143356985945982e+04  -6.8589344849816314e-01  -2.1375585107835377e+01   9.5670790345127321e-04  -5.0892921545716073e-08 
CN+         3 el  C  N -1  1  1
 4  -7.3412537424170048e+04   1.0102478122948639e+00  -1.6364198285290286e+01   4.2527098675379515e-04  -2.3554340613948157e-08 
CN-         3 el  C  N  1  1  1
