O   47.20 
Si  28.80 
Al   7.96  
Fe   4.32  
Ca   3.85  
Na   2.36  
Mg   2.20  
K    2.14  
Ti   0.401 
P    0.076 
Cr   0.013 
Mn   0.072 
H    0.045 
C    0.199 
N    0.006 
S    0.070 
F    0.053 
Cl   0.047 

















