335
CHNO         4   C H N O 1 1 1 1
  2     38.7737   -19.1259   0.146437   -0.0180932   0.00088591           
HCO         3   C H O 1 1 1
  2     25.3629   -13.2129   0.184508   -0.0229726   0.00111141           
CH2         2   C H 1 2
  2     25.0524   -8.4195   0.0822002   -0.00842615   0.000384606           
H2CO         3   C H O 1 2 1
  2     38.3834   -16.3975   0.0837728   -0.00744101   0.000313369           
CH3         2   C H 1 3
  2     37.1978   -13.4623   0.0872143   -0.00712298   0.000276705           
CH4         2   C H 1 4
  2     50.7774   -17.9109   0.0141353   0.0044553   -0.000301764           
CN         2   C N 1 1
  2     12.8051   -8.14934   0.0641622   -0.00736267   0.000346663           
CN-         3   C N el 1 1 1
  2     24.1233   -14.4219   0.704171   -0.0921367   0.00447712           
CN2_cnn         2   C N  1 2
  2     25.7026   -11.7813   0.171301   -0.0238743   0.0012213           
CN2_ncn         2   C N  1 2
  2     25.5405   -13.273   0.160753   -0.0235531   0.00122818           
CO         2   C O 1 1
  2     13.82   -11.7953   0.172167   -0.0228885   0.00113491           
CO2         2   C O 1 2
  2     27.4785   -17.098   0.0950125   -0.0125786   0.000640576           
CO2-         3   C O el 1 2 1
  2     37.1801   -19.8165   0.677552   -0.0875252   0.00422691           
CP         2   C P 1 1
  2     12.4988   -5.76155   0.123609   -0.0174113   0.000897797           
CS         2   C S 1 1
  2     13.4357   -8.05736   0.187544   -0.0255069   0.00127346           
CS2         2   C S 1 2
  2     26.6533   -12.4592   0.132286   -0.0186162   0.000953801           
SiC         2   C Si 1 1
  2     12.3274   -5.1219   0.13941   -0.019363   0.000962017           
Si2C        2   C Si 1 2
  2     25.5494   -11.7227   0.171031   -0.0245358   0.00124853           
C2         1   C 2
  2     12.8038   -6.6078   0.0977186   -0.0127393   0.000626035           
C2-         2   C el 2 1
  2     23.8449   -11.8251   0.678666   -0.0884022   0.00427702           
C22H14         2   C H 22 14
  2     459.8   -193.2   -1.62   0.2437   -0.01258           
C24H12         2   C H 24 12
  2     429.4   -161.7   -14.34   2.012   -0.09843           
C2Ce         2   C Ce 2 1
  2     26.6353   -14.0518   0.208487   -0.0260956   0.00122165           
C2H         2   C H 2 1
  2     25.063   -12.2909   -0.0190365   0.00444981   -0.000230727           
C2H2         2   C H 2 2
  2     38.1837   -17.3648   0.0215125   -8.9e-05   -2.87e-05           
C2H3         2   C H 2 3
  2     50.03   -19.3332   0.0750687   -0.0127952   0.00116544           
C2H3N         3   C H N 2 3 1
  2     62.9148   -25.2225   -0.359036   0.0762797   -0.00538137           
C2H4         2   C H 2 4
  2     63.3504   -23.8541   -0.0290326   0.00922192   -0.000495735           
C2H6         2   C H 2 6
  2     88.1628   -30.2309   0.0780244   -0.00145779   -0.000400717           
C2La         2   C La 2 1
  2     26.6009   -13.7801   0.201855   -0.0245775   0.00112268           
C2N         2   C N 2 1
  2     25.4659   -14.4502   0.159415   -0.0238296   0.00125855           
C2N2         2   C N 2 2
  2     41.3568   -22.172   0.167003   -0.0234989   0.00125859           
C2Nd         2   C Nd 2 1
  2     26.6823   -13.1053   0.126087   -0.0171019   0.000853464           
C2O         2   C O 2 1
  2     25.7245   -14.6509   0.046094   -0.00711218   0.000405287           
C2S         2   C S 2 1
  2     13.6087   -3.49198   0.824013   -0.121341   0.00626879           
SiC2         2   C Si 2 1
  2     25.6232   -13.0848   -0.055227   0.00933626   -0.000498756           
Si2C2       2   C Si 2 2
  2     38.7405   -17.5476   0.115866   -0.018126   0.000967168           
TiC2         2   C Ti 2 1
  2     27.0183   -13.5336   0.45875   -0.0661584   0.00338337           
VC2         2   C V 2 1
  2     27.2791   -13.3367   0.369988   -0.0526615   0.00268939           
YC2         2   C Y 2 1
  2     26.6854   -14.2487   0.449075   -0.0658154   0.00340468           
ZrC2         2   C Zr 2 1
  2     27.7249   -14.5345   0.392034   -0.0538324   0.00268096           
C3         1   C 3
  2     25.2297   -14.4448   0.125475   -0.0173901   0.000885943           
C3H         2   C H 3 1
  2     40.7912   -21.7625   0.933772   -0.13863   0.00745491           
C3HN         3   C H N 3 1 1
  2     50.3142   -24.9662   -0.292923   0.0589262   -0.00417683           
C3H2         2   C H 3 2
  2     53.1743   -26.3793   2.15102   -0.479247   0.0378753           
C3H3         2   C H 3 3
  2     63.3477   -26.8077   0.412414   -0.0992055   0.008579           
C3H4         2   C H 3 4
  2     75.383   -29.3318   -0.259196   0.0538528   -0.00361693           
C3N         2   C N 3 1
  2     40.797   -24.9643   1.69769   -0.355145   0.0267983           
C4         1   C 4
  2     37.4163   -13.9473   -3.44221   0.7157   -0.0462669           
C4H         2   C H 4 1
  2     53.2097   -28.3938   1.48513   -0.309402   0.0233092           
C4H2         2   C H 4 2
  2     63.0326   -28.5328   -0.488889   0.0998189   -0.00720409           
C4H3         2   C H 4 3
  2     75.3904   -32.4423   -0.223846   0.0824096   -0.00833807           
C4H4         2   C H 4 4
  2     87.2855   -35.3844   -0.324513   0.0637727   -0.00426337           
C4H4O         3   C H O 4 4 1
  2     110.3   -34.03   -2.807   0.3973   -0.01952           
C4H4S         3   C H S 4 4 1
  2     94.71   -31.91   -3.117   0.4411   -0.02167           
C4H6         2   C H 4 6
  2     107.8   -37.3   -1.939   0.2805   -0.0139           
C4N         2   C N 4 1
  2     53.8109   -29.1747   0.82621   -0.158124   0.0107915           
C4N2         2   C N 4 2
  2     65.1015   -33.9717   -0.0025628   -0.00213767   0.000223775           
C4Y         2   C Y 4 1
  2     52.6239   -26.6961   0.359956   -0.0561891   0.00302228           
C5         1   C 5
  2     53.99   -27.03   -0.0303   0.003401   -0.0001084           
C5H         2   C H 5 1
  2     71.804   -39.4029   3.75319   -0.752366   0.0544019           
C5HN         3   C H N 5 1 1
  2     75.23   -36.04   -0.8089   0.1142   -0.005573           
C5H5N         3   C H N 5 5 1
  2     115.3   -38.21   -4.863   0.6823   -0.03338           
C6H         2   C H 6 1
  2     71.97   -32.68   -1.255   0.1708   -0.008225           
C6H2         2   C H 6 2
  2     87.81   -40.07   -0.8792   0.1253   -0.006152           
C6H4(a)         2   C H  6 4
  2     110.4   -42.69   -1.758   0.2533   -0.01252           
C6H4(b)         2   C H  6 4
  2     112.8   -42.39   -2.104   0.3041   -0.01506           
C6H5O         3   C H O 6 5 1
  2     128.0   -44.34   -4.826   0.6763   -0.03307           
C6H6         2   C H 6 6
  2     80.1578   -30.4829   -0.56188   0.100312   -0.00652777           
C6H6O         3   C H O 6 6 1
  2     143.5   -49.59   -4.449   0.6308   0.031           
C7HN         3   C H N 7 1 1
  2     100.4   -47.77   -1.108   0.1546   -0.007507           
C9HN         3   C H N 9 1 1
  2     125.6   -59.55   -1.393   0.1931   0.009355           
CaCl         2   Ca Cl 1 1
  2     12.3142   -5.76138   0.565319   -0.0828685   0.0042822           
CaCl2         2   Ca Cl 1 2
  2     24.6113   -10.6172   0.473966   -0.0709817   0.00371402           
CaF         2   Ca F 1 1
  2     12.3566   -7.14716   0.560243   -0.0822658   0.00425272           
CaF2         2   Ca F 1 2
  2     24.4848   -13.2378   0.55677   -0.0814202   0.00419976           
CaH         2   Ca H 1 1
  2     11.3401   -3.01442   0.423487   -0.0614674   0.00316392           
CaOH         3   Ca H O 1 1 1
  2     24.6112   -10.9104   0.60803   -0.0871975   0.0044736           
Ca(OH)2      3   Ca H O 1 2 2
  2     49.5488   -19.3541   0.455356   -0.065841   0.00342522           
CaO         2   Ca O 1 1
  2     12.2598   -6.47349   0.582844   -0.085805   0.00444251           
CaS         2   Ca S 1 1
  2     12.3094   -5.22181   0.605463   -0.0889671   0.00459935           
CeF         2   Ce F 1 1
  2     13.076   -6.96769   0.21608   -0.0257263   0.00115112           
CeO         2   Ce O 1 1
  2     13.3605   -9.11694   0.238431   -0.0291627   0.00133433           
CeO2         2   Ce O 1 2
  2     26.5071   -16.7753   0.163098   -0.0198458   0.000904016           
CeS         2   Ce S 1 1
  2     12.8878   -6.88265   0.263539   -0.0328229   0.00152135           
Cl-         2   Cl el 1 1
  2     11.4196   -5.57909   0.501653   -0.0643142   0.0030822           
CrCl         2   Cl Cr 1 1
  2     13.5463   -5.45493   0.568918   -0.0817186   0.00416338           
CuCl         2   Cl Cu 1 1
  2     13.3222   -4.75372   0.23224   -0.0318488   0.0015877           
FeCl         2   Cl Fe 1 1
  2     12.1477   -4.01579   0.344484   -0.0492487   0.00250981           
GeCl         2   Cl Ge 1 1
  2     11.9202   -4.99487   0.156097   -0.0258979   0.00174832           
HCl         2   Cl H 1 1
  2     12.5277   -5.1927   0.181172   -0.0240142   0.00119942           
OHCl        3   Cl H O 1 1 1
  2     24.9605   -7.79148   0.154108   -0.0182326   0.000857995           
KCl         2   Cl K 1 1
  2     12.1734   -5.64605   0.432603   -0.0629154   0.00324007           
LiCl         2   Cl Li 1 1
  2     12.0145   -5.66908   0.255583   -0.0369367   0.00190539           
MgCl         2   Cl Mg 1 1
  2     11.3182   -3.99836   0.211366   -0.0301742   0.00154799           
MnCl         2   Cl Mn 1 1
  2     12.097   -4.93384   0.399484   -0.058089   0.00299444           
NaCl         2   Cl Na 1 1
  2     11.7682   -5.00838   0.239753   -0.0348374   0.00180345           
NiCl         2   Cl Ni 1 1
  2     12.7126   -4.59434   0.194955   -0.0255737   0.00125485           
ClO         2   Cl O 1 1
  2     12.3224   -3.31053   0.137635   -0.0188264   0.000950141           
ClO2         2   Cl O 1 2
  2     25.9251   -6.30906   0.301334   -0.0439689   0.00229387           
PCl         2   Cl P 1 1
  2     12.024   -3.89148   0.244322   -0.0339665   0.00170627           
ClRb         2   Cl Rb 1 1
  2     11.3656   -4.77047   0.101159   -0.0126292   0.000597431           
SCl         2   Cl S 1 1
  2     11.8391   -3.10696   0.0833656   -0.0105587   0.000512083           
SiCl         2   Cl Si 1 1
  2     12.0092   -4.73734   0.130021   -0.0169503   0.000822418           
SrCl         2   Cl Sr 1 1
  2     12.2312   -6.11258   0.673159   -0.0990344   0.00512413           
TiCl         2   Cl Ti 1 1
  2     12.3047   -5.65636   0.386648   -0.0567597   0.00292045           
YCl          2   Cl Y 1 1
  2     13.3007   -4.98346   0.46819   -0.0671767   0.00343           
ZrCl         2   Cl Zr 1 1
  2     13.0733   -6.37894   0.424106   -0.0574623   0.00283769           
Cl2         1   Cl 2
  2     12.6195   -2.8856   0.0818554   -0.00999715   0.000476782           
CrCl2         2   Cl Cr 2 1
  2     24.1564   -9.34496   0.472265   -0.068913   0.00354222           
FeCl2         2   Cl Fe 2 1
  2     24.4853   -9.03309   0.239527   -0.0358253   0.00187086           
MgCl2         2   Cl Mg 2 1
  2     24.6665   -8.95575   0.262645   -0.0395934   0.00209222           
MnCl2         2   Cl Mn 2 1
  2     23.5236   -9.02256   0.323944   -0.0485866   0.00255079           
ClOCl         2   Cl O 2 1
  2     25.6516   -5.15529   0.288211   -0.0408833   0.00209767           
SCl2         2   Cl S 2 1
  2     24.9568   -6.39973   0.216059   -0.0295231   0.00148204           
SiCl2        2   Cl Si 2 1
  2     24.9571   -9.6199   0.237779   -0.0326086   0.00163365           
SrCl2        2   Cl Sr 2 1
  2     23.8755   -11.3477   0.578654   -0.0866213   0.00452572           
TiCl2         2   Cl Ti 2 1
  2     25.1572   -10.9356   0.187656   -0.026875   0.00137541           
VCl2          2   Cl V 2 1
  2     24.5925   -10.8863   0.290086   -0.0409513   0.00208056           
ZrCl2         2   Cl Zr 2 1
  2     25.2298   -12.746   0.41753   -0.0558026   0.00273287           
CrF         2   Cr F 1 1
  2     13.8202   -6.30902   0.567869   -0.0818114   0.00417411           
CrF2         2   Cr F 1 2
  2     24.7276   -11.341   0.473131   -0.0696311   0.00359522           
CrH         2   Cr H 1 1
  2     12.2974   -4.45051   0.500792   -0.071306   0.00362238           
CrN         2   Cr N 1 1
  2     13.9279   -5.754   0.630073   -0.0913532   0.00467965           
CrO         2   Cr O 1 1
  2     13.5131   -6.18823   0.587687   -0.0848086   0.00433216           
CrO2         2   Cr O 1 2
  2     28.5405   -12.1959   0.710285   -0.100941   0.00512223           
CuF         2   Cu F 1 1
  2     12.6471   -5.49502   0.335965   -0.0479931   0.0024441           
CuH         2   Cu H 1 1
  2     12.1518   -3.785   0.309765   -0.0433886   0.00219329           
CuO         2   Cu O 1 1
  2     12.1756   -3.5147   0.204849   -0.0282166   0.00140747           
CuS         2   Cu S 1 1
  2     12.5115   -3.98365   0.377499   -0.0540676   0.00275454           
F-         2   F el 1 1
  2     11.4168   -5.38725   0.497076   -0.063843   0.00306004           
FeF         2   F Fe 1 1
  2     13.0568   -5.82538   0.374474   -0.05303   0.00269032           
GeF         2   F Ge 1 1
  2     12.1304   -5.46883   0.0935744   -0.0131153   0.000790895           
HF         2   F H 1 1
  2     12.444   -6.02993   -0.0550589   0.0133628   -0.000818799           
KF         2   F K 1 1
  2     12.448   -6.37719   0.42974   -0.0627196   0.00323395           
FLa         2   F La 1 1
  2     13.3667   -7.02136   0.2153   -0.025229   0.00111309           
LiF         2   F Li 1 1
  2     12.4491   -6.82101   0.285775   -0.0416715   0.00215772           
MgF         2   F Mg 1 1
  2     11.727   -5.56789   0.246722   -0.0357525   0.00184648           
MnF         2   F Mn 1 1
  2     12.382   -5.57499   0.397334   -0.0579227   0.00298775           
NaF         2   F Na 1 1
  2     12.1873   -6.19585   0.278477   -0.0408644   0.00212234           
FNd         2   F Nd 1 1
  2     12.9166   -6.45105   0.138735   -0.0176065   0.00083413           
NiF         2   F Ni 1 1
  2     13.0268   -4.58713   0.190903   -0.0251026   0.00123248           
FO         2   F O 1 1
