H	0.006
C	1.2
N	0.88E-4
O	41.0
F	0.002
Na	0.29
Mg	18.0
Al	0.27
Si	18.0
P	0.22
S	3.3
Cl	0.004
K	0.02
Ca	6.9
Ti	0.12
Cr	0.29
Mn	0.11
Fe	10
