184
  3     278304.0   -128731.0   22.7796   -0.000159953   4.91532e-08           
CaF2         2   Ca F 1 2
  3     359500.0   -270725.0   51.0997   -0.000196516   6.15049e-08           
CaH         2   Ca H 1 1
  2     11.34   -3.0144   0.42349   -0.061467   0.0031639           
CaOH         3   Ca H O 1 1 1
  3     481970.0   -204396.0   51.448   -0.000190986   4.94457e-08           
Ca(OH)2      3   Ca H O 1 2 2
  3     753266.0   -417799.0   108.393   -0.000336165   6.0781e-08           
CaO         2   Ca O 1 1
  3     982733.0   -97961.5   30.2045   -0.00163458   1.22927e-07           
CaS         2   Ca S 1 1
  3     749535.0   -84837.4   28.6689   -0.00190377   1.60756e-07           
FeCl         2   Cl Fe 1 1
  3     119721.0   -69635.8   23.1413   0.000116921   1.7476e-08           
HCl         2   Cl H 1 1
  3     430684.0   -106291.0   26.1097   0.000466915   -2.90088e-08           
SiH3Cl      3   Cl H Si 1 3 1
  3     824263.0   -334096.0   113.001   0.000219972   -1.86462e-08           
KCl         2   Cl K 1 1
  3     457163.0   -104386.0   23.8671   -0.000371773   6.2259e-08           
MgCl         2   Cl Mg 1 1
  3     261583.0   -76453.0   21.3899   0.000140106   4.37268e-10           
NaCl         2   Cl Na 1 1
  3     307543.0   -100087.0   23.6342   1.24759e-05   1.23522e-08           
SrCl         2   Cl Sr 1 1
  3     283902.0   -99845.7   21.1864   -0.00023967   6.44972e-08           
TiCl         2   Cl Ti 1 1
  3     -533589.0   -103003.0   21.4884   0.000610716   -2.38718e-08           
ZrCl         2   Cl Zr 1 1
  3     2037640.0   -136193.0   32.805   -0.00158822   1.43671e-07           
FeCl2        2   Cl Fe 2 1
  3     231158.0   -193215.0   53.996   -0.000258974   3.49128e-08           
MgCl2         2   Cl Mg 2 1
  3     224867.0   -188677.0   50.3953   -6.12749e-05   1.16459e-08           
SrCl2         2   Cl Sr 2 1
  3     382681.0   -213043.0   46.2372   -0.000259593   7.99209e-08           
TiCl2         2   Cl Ti 2 1
  3     -316823.0   -226943.0   55.4141   0.000660033   -3.68589e-08           
ZrCl2         2   Cl Zr 2 1
  3     2116300.0   -259055.0   63.1875   -0.00162636   1.34117e-07           
CrH         2   Cr H 1 1
  2     12.297   -4.4505   0.50079   -0.071306   0.0036224           
CrO         2   Cr O 1 1
  3     48555.2   -110261.0   24.2209   0.000442743   6.46033e-09           
CrO2         2   Cr O 1 2
  3     163667.0   -233846.0   57.1937   0.000471718   1.12343e-08           
CrO3         2   Cr O 1 3
  3     161401.0   -345686.0   97.3923   0.000182878   2.60013e-08           
CuH         2   Cu H 1 1
  2     12.152   -3.919   0.30976   -0.043389   0.0021933           
CuO         2   Cu O 1 1
  3     76687.0   -67710.8   23.2293   0.000259273   0.0           
CuS         2   Cu S 1 1
  2     12.511   -4.2636   0.3775   -0.054068   0.0027545           
FeF         2   F Fe 1 1
  3     180919.0   -108616.0   26.4979   0.000258587   9.59261e-09           
HF         2   F H 1 1
  3     448170.0   -139254.0   27.6153   0.00053015   -3.37792e-08           
SiH3F      3   F H Si 1 3 1
  3     845148.0   -380353.0   115.028   0.000205416   -1.76493e-08           
KF         2   F K 1 1
  3     434955.0   -120941.0   25.302   -0.000391875   6.42692e-08           
MgF         2   F Mg 1 1
  3     246987.0   -112516.0   22.9716   0.000127751   9.28918e-10           
NaF         2   F Na 1 1
  3     289112.0   -115949.0   25.0664   -1.39764e-05   1.43089e-08           
TiOF         3   F O Ti 1 1 1
  3     -828389.0   -291571.0   57.3306   0.00153389   -9.28696e-08           
SrF         2   F Sr 1 1
  3     264696.0   -130451.0   22.6748   -0.00026405   6.8e-08           
TiF         2   F Ti 1 1
  3     -548274.0   -145737.0   22.8981   0.000605036   -2.2022e-08           
ZrF         2   F Zr 1 1
  3     2022450.0   -155331.0   33.9389   -0.00168492   1.45526e-07           
FeF2         2   F Fe 2 1
  3     -2224.66   -230776.0   57.3627   -0.000239486   3.74619e-08           
MgF2         2   F Mg 2 1
  3     311060.0   -249116.0   53.4897   0.000200443   0.0           
SrF2         2   F Sr 2 1
  3     340709.0   -262597.0   49.0801   -0.000316449   8.39295e-08           
TiF2         2   F Ti 2 1
  3     -340935.0   -314461.0   58.0688   0.000606642   -3.31096e-08           
ZrF2         2   F Zr 2 1
  3     2211690.0   -328502.0   63.5433   -0.00137843   1.23594e-07           
Fe(OH)2      3   Fe H O 1 2 2
  3     418570.0   -405885.0   114.517   -0.000248115   3.53182e-08           
FeO         2   Fe O 1 1
  3     218545.0   -100927.0   26.9229   0.000253772   4.3749e-09           
FeS         2   Fe S 1 1
  3     45675.7   -77745.6   23.9279   0.000302718   6.29763e-09           
KH         2   H K 1 1
  3     461020.0   -46940.0   22.051   -0.000410568   6.33994e-08           
KOH         3   H K O 1 1 1
  3     610635.0   -192537.0   52.6452   -0.000387715   6.44699e-08           
MgH         2   H Mg 1 1
  3     290391.0   -49144.9   19.6635   0.000152956   -6.37175e-09           
MgOH         3   H Mg O 1 1 1
  3     447672.0   -189626.0   51.7801   0.000115404   3.34857e-10           
