213
H2          1  H  2
OH+         3 el  H  O -1  1  1
 1  -5.24344E+00 -2.16061E+01  2.09492E-01 -1.45876E-02  3.62192E-04
OH-         3 el  H  O  1  1  1
 1  -5.09580E+01  1.63145E+01 -1.16173E-01  3.02958E-03 -2.67082E-05
N2H2        2  H  N  2  2
 1  -8.64368E+01  2.91923E+01 -1.06200E-01  4.51031E-03 -8.37302E-05
NH3         2  H  N  3  1
 1  -8.57724E+01  2.94205E+01 -9.57049E-02  2.61596E-03 -2.50812E-05
H3O+        3 el  H  O -1  3  1
 1  -6.52594E+01  7.93555E+00 -6.65344E-03  2.27011E-05  6.44938E-07
N2H4        2  H  N  4  2
 1  -1.41569E+02  4.25729E+01 -8.28499E-02  1.89077E-03 -1.63895E-05
NO+         3 el  N  O -1  1  1
 1  -7.93223E+00 -7.59095E+00  1.42685E-01 -7.00593E-03  1.19104E-04
NO2-        3 el  N  O  1  1  2
 1  -8.23804E+01  3.44832E+01 -3.58545E-01  2.28941E-02 -5.48950E-04
NO3         2  N  O  1  3
 1  -9.11025E+01  2.79075E+01 -2.17472E-02  3.59641E-04 -3.26641E-06
N2O3        2  N  O  2  3
 1  -1.17441E+02  3.91071E+01 -3.88276E-02  1.02625E-03 -1.33183E-05
N2O4        2  N  O  2  4
 1  -1.50454E+02  4.62544E+01  6.38407E-02 -6.29386E-03  1.66959E-04
N2O5        2  N  O  2  5
 1  -1.78535E+02  5.22542E+01  3.31267E-02 -3.59993E-03  9.25739E-05
O-          2 el  O  1  1
 1  -2.29505E+01  5.53415E+00 -2.85723E-01  1.88452E-02 -4.56046E-04
O2-         2 el  O  1  2
 1  -5.20064E+01  1.55197E+01 -3.39363E-01  2.20199E-02 -5.30088E-04
O3          1  O  3
 1  -6.00650E+01  1.50328E+01 -5.51084E-02  2.91542E-03 -6.60430E-05
CO2-        3 el  C  O  1  1  2
 1  -8.20993E+01  4.13724E+01 -1.19841E-01  3.07211E-03 -2.67970E-05
SI2         1 Si  2
 1  -2.71218E+01  7.49652E+00 -8.33304E-03  8.52044E-04 -2.87818E-05
SI3         1 Si  3
 1  -5.70581E+01  1.73378E+01 -3.43757E-02  2.43620E-03 -6.37450E-05
SIC         2  C Si  1  1
 1  -2.77061E+01  1.08644E+01 -4.50473E-02  3.42294E-03 -8.74553E-05
SI2C        2  C Si  1  2
 1  -5.97639E+01  2.61200E+01 -2.72754E-02  1.34528E-03 -3.01434E-05
SIC2        2  C Si  2  1
 1  -5.93015E+01  3.05578E+01 -1.51053E-02  3.14836E-04 -2.72893E-06
SIH         2  H Si  1  1
 1  -2.64140E+01  7.45913E+00 -3.75939E-02  1.12863E-03 -1.14036E-05
SIH4        2  H Si  4  1
 1  -1.13320E+02  3.18657E+01 -6.06477E-02  1.29983E-03 -1.08128E-05
SIN         2  N Si  1  1
 1  -2.80456E+01  1.34232E+01 -1.89815E-02  5.70964E-04 -7.17616E-06
SI2N        2  N Si  1  2
 1  -5.70745E+01  2.36100E+01 -3.63584E-02  2.41904E-03 -6.23802E-05
SIO         2  O Si  1  1
 1  -3.01526E+01  1.95463E+01 -3.47731E-02  1.05233E-03 -1.07586E-05
SIO2        2  O Si  2  1
 1  -6.12100E+01  3.02681E+01 -1.95517E-02  4.53396E-04 -4.15914E-06
AL+         2 el Al -1  1
 1   2.07913E+01 -1.57415E+01  2.03159E-01 -9.56760E-03  1.59071E-04
ALH         2  H Al  1  1
 1  -2.69378E+01  7.33414E+00 -3.93860E-02  1.60299E-03 -2.50881E-05
HALO        3  H  O Al  1  1  1
 1  -5.76611E+01  1.86600E+01 -2.25979E-02  4.79506E-04 -4.60994E-06
ALOH        3  H  O Al  1  1  1
 1  -5.87814E+01  2.40445E+01 -4.53413E-02  1.15902E-03 -1.08158E-05
ALOH+       4 el  H  O Al -1  1  1  1
 1  -3.50018E+01  5.48053E+00  4.43325E-02 -1.26577E-03  1.17661E-05
ALOH-       4 el  H  O Al  1  1  1  1
 1  -7.78235E+01  2.64561E+01 -1.27535E-01  3.29085E-03 -2.88186E-05
ALO2H       3  H  O Al  1  2  1
 1  -8.73246E+01  3.66420E+01 -4.12476E-02  1.01127E-03 -9.35143E-06
ALN         2  N Al  1  1
 1  -2.82937E+01  9.10694E+00 -5.02712E-02  3.06320E-03 -7.23552E-05
ALO         2  O Al  1  1
 1  -2.76782E+01  1.21829E+01  2.98255E-02 -2.21836E-03  4.52128E-05
ALO+        3 el  O Al -1  1  1
 1  -3.89997E+00 -1.14703E+01  1.86790E-01 -9.07976E-03  1.53411E-04
ALO2        2  O Al  2  1
 1  -5.79513E+01  2.42557E+01 -7.71725E-03  1.18168E-04 -1.16824E-06
ALO2-       3 el  O Al  1  2  1
 1  -8.12788E+01  3.28412E+01 -9.19118E-02  2.36634E-03 -2.06988E-05
AL2O        2  O Al  1  2
 1  -5.72514E+01  2.52853E+01 -5.90540E-03  8.37579E-05 -5.64091E-07
AL2O+       3 el  O Al -1  1  2
 1  -3.35638E+01  4.40240E+00  1.98417E-01 -9.53708E-03  1.60046E-04
AL2O2       2  O Al  2  2
 1  -8.73430E+01  3.72213E+01 -6.78670E-03  6.89011E-05 -3.78973E-07
AL2O2+      3 el  O Al -1  2  2
 1  -6.35688E+01  1.24134E+01  1.97509E-01 -9.55609E-03  1.60746E-04
ALC         2  C Al  1  1
 1  -2.74379E+01  8.95057E+00 -8.78439E-02  6.44214E-03 -1.68174E-04
MGH         2  H Mg  1  1
 1  -2.41857E+01  5.11620E+00 -4.29508E-02  2.30568E-03 -5.05923E-05
MGOH        3  H  O Mg  1  1  1
 1  -5.41914E+01  1.91496E+01 -4.64644E-02  1.85103E-03 -2.90375E-05
MGOH+       4 el  H  O Mg -1  1  1  1
 1  -3.22604E+01 -5.72354E-01  1.59211E-01 -7.91903E-03  1.35519E-04
MG(OH)2     3  H  O Mg  2  2  1
 1  -1.11521E+02  4.01614E+01 -4.03275E-02  9.64995E-04 -8.85157E-06
MG+         2 el Mg -1  1
 1   2.32461E+01 -1.95684E+01  2.00504E-01 -9.41108E-03  1.56223E-04
MGN         2  N Mg  1  1
 1  -2.45385E+01  8.28955E+00 -4.67278E-02  2.91373E-03 -6.93675E-05
MGO         2  O Mg  1  1
 1  -2.45165E+01  7.64838E+00  5.19892E-02 -2.43957E-03  3.86763E-05
ALS         2 Al  S  1  1
 1  -2.68449E+01  8.71924E+00  3.13769E-02 -2.20918E-03  4.40796E-05
KCN         3  C  N  K  1  1  1
 1  -5.57016E+01  2.90170E+01 -3.92469E-02  1.76281E-03 -2.95853E-05
NACN        3  C  N Na  1  1  1
 1  -5.60177E+01  2.90457E+01 -2.97987E-02  1.21345E-03 -1.93398E-05
COS         3  C  O  S  1  1  1
 1  -6.08816E+01  3.33362E+01 -1.57416E-02  6.84627E-05  5.92278E-06
CS          2  C  S  1  1
 1  -3.01283E+01  1.75983E+01 -5.63333E-02  2.53432E-03 -4.22519E-05
CS2         2  C  S  1  2
 1  -6.07216E+01  2.79634E+01 -2.64765E-02  1.12482E-03 -2.42986E-05
(KCN)2      3  C  N  K  2  2  2
 1  -1.38455E+02  6.10038E+01  5.05777E-02 -4.20648E-03  1.08705E-04
(NACN)2     3  C  N Na  2  2  2
 1  -7.51699E+01  2.81450E+01 -4.21880E-02  2.85629E-03 -6.70677E-05
FE(OH)2     3  H  O Fe  2  2  1
 1  -1.12808E+02  4.05943E+01 -2.18181E-02  3.33378E-04 -2.21075E-06
FEO         2  O Fe  1  1
 1  -2.83606E+01  1.05430E+01 -8.10224E-02  5.15287E-03 -1.25274E-04
FEH         2  H Fe  1  1
 3   0.00000E+00 -3.87740E+04  2.47290E+01 -4.64016E-04  6.79410E-08
KH          2  H  K  1  1
 1  -2.46474E+01  4.76296E+00 -4.16539E-02  2.48346E-03 -5.83822E-05
KOH         3  H  O  K  1  1  1
 1  -5.40825E+01  1.93949E+01 -5.52903E-02  2.46361E-03 -4.08560E-05
NAH         2  H Na  1  1
 1  -2.51026E+01  5.16785E+00 -3.60587E-02  1.94417E-03 -4.30454E-05
NAOH        3  H  O Na  1  1  1
 1  -5.41449E+01  1.89413E+01 -4.59540E-02  1.92794E-03 -3.08759E-05
HS          2  H  S  1  1
 1  -2.69135E+01  9.06087E+00 -4.38175E-02  1.34052E-03 -1.36128E-05
(KOH)2      3  H  O  K  2  2  2
 1  -1.39754E+02  4.30160E+01 -5.00608E-02  1.36142E-03 -1.63861E-05
(NAOH)2     3  H  O Na  2  2  2
 1  -1.40574E+02  4.26800E+01 -3.72490E-02  6.91961E-04 -5.17475E-06
H2SO4       3  H  O  S  2  4  1
 1  -1.78299E+02  5.91376E+01 -3.14894E-02  3.61687E-04 -1.45707E-06
H2S         2  H  S  2  1
 1  -5.58470E+01  1.85055E+01 -6.88468E-02  1.93172E-03 -1.87714E-05
K+          2 el  K -1  1
 1   2.10874E+01 -1.12943E+01  7.77645E-02 -2.03995E-03  1.80505E-05
KO          2  O  K  1  1
 1  -2.50101E+01  6.63961E+00 -2.12870E-02  6.74006E-04 -7.04260E-06
KO-         3 el  O  K  1  1  1
 1  -4.89559E+01  1.36886E+01 -3.24390E-01  2.12790E-02 -5.14200E-04
K2          1  K  2
 1  -2.29668E+01  1.35858E+00 -1.35371E-02  7.24797E-04 -1.60772E-05
MGS         2 Mg  S  1  1
 1  -2.38458E+01  6.33428E+00  3.24785E-02 -1.26732E-03  1.65719E-05
SN          2  N  S  1  1
 1  -2.79435E+01  1.21292E+01 -5.21488E-02  2.34878E-03 -3.90787E-05
NA+         2 el Na -1  1
 1   2.11622E+01 -1.31565E+01  7.97334E-02 -2.09709E-03  1.85879E-05
NAO         2  O Na  1  1
 1  -2.53197E+01  6.82584E+00 -3.63329E-02  2.20170E-03 -5.15318E-05
NAO-        3 el  O Na  1  1  1
 1  -4.85244E+01  1.28021E+01 -9.40452E-02  2.45915E-03 -2.17206E-05
NA2         1 Na  2
 1  -2.44144E+01  2.20255E+00 -6.00936E-02  3.10399E-03 -5.49208E-05
SO          2  O  S  1  1
 1  -2.89971E+01  1.29926E+01 -6.33653E-02  3.82418E-03 -9.05423E-05
S2O         2  O  S  1  2
 1  -5.85118E+01  2.13385E+01 -8.04080E-02  4.82905E-03 -1.15527E-04
SO2         2  O  S  2  1
 1  -6.01171E+01  2.63060E+01 -6.15231E-02  3.20345E-03 -7.16436E-05
SIS         2 Si  S  1  1
 1  -2.93482E+01  1.52648E+01 -3.39946E-02  1.04485E-03 -1.07718E-05
N2          1  N  2
 1  -3.02176E+01  2.31125E+01 -4.17465E-02  1.26925E-03 -1.28722E-05
O2          1  O  2
 1  -3.01440E+01  1.23894E+01 -4.96055E-02  2.63048E-03 -5.71706E-05
S2          1  S  2
 1  -2.87124E+01  1.05376E+01 -3.10817E-02  1.20818E-03 -1.87324E-05
FES         2 Fe  S  1  1
 1  -2.79771E+01  8.33926E+00 -6.92225E-02  3.25478E-03 -5.55708E-05
C+          2 el  C -1  1
 1   2.32678E+01 -2.95076E+01  5.43002E-01 -3.32605E-02  6.85486E-04
N+          2 el  N -1  1
 1   2.26858E+01 -3.48234E+01  8.06662E-02 -2.12430E-03  1.88436E-05
O+          2 el  O -1  1
 1   2.16919E+01 -3.33262E+01  2.23016E-01 -1.20273E-02  2.36243E-04
CNO         3  C  N  O  1  1  1
 1  -5.91749E+01  3.09665E+01 -2.81824E-02  8.68850E-04 -1.18559E-05
TIO         2 Ti  O  1  1
