Element abundances (nuclei particle density ratios, sum = 1)
sources: Earth Crust: Jefferson Lab (2007),
otherwise http://periodictable.com/Properties/A/MeteoriteAbundance.an.log.html

                        Mass     EarthCrust Ocean      Solar      Meteorites 
 64    gadolinium  Gd 157.25000  8.195E-07  2.714E-14  1.585E-11  2.198E-08
 65       terbium  Tb 158.92534  1.569E-07  5.371E-15  7.839E-13  3.688E-09
 66    dysprosium  Dy 162.50000  6.651E-07  3.414E-14  1.533E-11  2.497E-08
 67       holmium  Ho 164.93032  1.638E-07  8.132E-15  0.000E+00  5.376E-09
 68        erbium  Er 167.25900  4.349E-07  3.281E-14  7.449E-12  1.617E-08
 69       thulium  Tm 168.93421  6.398E-08  7.218E-15  1.475E-12  2.580E-09
 70     ytterbium  Yb 173.04000  3.844E-07  2.819E-14  7.200E-12  1.563E-08
 71      lutetium  Lu 174.96700  5.939E-08  5.227E-15  7.121E-12  2.491E-09
 72       hafnium  Hf 178.49000  3.493E-07  2.733E-13  6.980E-12  1.431E-08
 73      tantalum  Ta 180.94790  2.297E-07  6.739E-14  0.000E+00  1.661E-09
 74      tungsten   W 183.84000  1.413E-07  3.980E-12  2.711E-11  9.809E-09
 75       rhenium  Re 186.20700  7.813E-11  3.274E-14  6.691E-13  3.954E-09
 76        osmium  Os 190.23000  1.639E-10  0.000E+00  1.310E-11  5.214E-08
 77       iridium  Ir 192.21700  1.081E-10  0.000E+00  1.296E-11  4.222E-08
 78      platinum  Pt 195.07800  5.327E-10  0.000E+00  5.748E-11  7.549E-08
 79          gold  Au 196.96655  4.221E-10  1.548E-12  6.325E-05  1.297E-08
 80       mercury  Hg 200.59000  8.807E-09  1.520E-12  1.242E-10  1.873E-08
 81      thallium  Tl 204.38330  8.644E-08  2.983E-14  6.096E-12  5.735E-09
 82          lead  Pb 207.20000  1.404E-06  8.827E-13  6.013E-11  1.015E-07
 83       bismuth  Bi 208.98038  8.454E-10  5.835E-13  5.962E-11  4.962E-09
 90       thorium  Th 232.03810  8.599E-07  1.051E-15  1.611E-12  2.526E-09
 92       uranium   U 238.02891  2.358E-07  8.452E-11  5.234E-12  6.187E-10
