mass fractions [%]
Earth Crust: Jefferson Lab (2007), 1400 means 0.14%
otherwise: http://periodictable.com/Properties/A/MeteoriteAbundance.an.log.html

                             EarthCrust   Ocean	     Solar    Meteorites    AtomicMass  
69 	thulium 	Tm 	0.52   	  2.E-11     2.E-8    2.9E-6        168.93421   
70 	ytterbium 	Yb 	3.2    	  8.E-11     1.E-7    0.000018      173.04 	
71 	lutetium[7] 	Lu 	0.5    	  1.5E-11    1.E-7    2.9E-6        174.967     
72 	hafnium 	Hf 	3.0    	  8.E-10     1.E-7    0.000017      178.49 	
73 	tantalum 	Ta 	2.0    	  2.E-10     0.0      2.E-6  	    180.9479    
74 	tungsten 	W 	1.25   	  1.2E-8     4.E-7    0.000012      183.84 	
75 	rhenium 	Re 	0.0007 	  1.E-10     1.E-8    4.9E-6        186.207     
76 	osmium 		Os 	0.0015    0.0        2.E-7    0.000066      190.23 	
77 	iridium 	Ir 	0.001  	  0.0        2.E-7    0.000054      192.217     
78 	platinum 	Pt 	0.005  	  0.0        9.E-7    0.000098      195.078     
79 	gold 		Au 	0.004  	  5.E-9      1.E-     0.000017      196.96655   
80 	mercury 	Hg 	0.085  	  5.E-9      2.E-6    0.000025      200.59      
81 	thallium 	Tl 	0.850  	  1.E-10     1.E-7    7.8E-6 	    204.3833	
82 	lead 		Pb 	14     	  3.E-9      1.E-6    0.00014       207.2	
83 	bismuth 	Bi 	0.0085 	  2.E-9      1.E-6    6.9E-6 	    208.98038	
90 	thorium 	Th 	9.6    	  4.E-12     3.E-8    3.9E-6 	    232.0381	
92  	uranium 	U 	2.7    	  3.3E-7     1.E-7    9.8E-7 	    238.02891   


