36  Woitke re-fits, some Stock&Kietzmann Tsuji-refits
CrCl2       2   Cl Cr 2 1
 2     24.1564   -9.34496  0.472265  -0.068913   0.00354222           
VCl2        2   Cl  V 2 1
 2     24.5925  -10.8863   0.290086  -0.0409513  0.00208056           
CrF         2   Cr  F 1 1
 2     13.8202  -6.30902   0.567869  -0.0818114  0.00417411           
CrF2        2   Cr  F 1 2
 2     24.7276  -11.341    0.473131  -0.0696311  0.00359522           
VF2         2    F  V 2 1
 2     25.1448  -13.8119   0.279138  -0.0395711  0.00201049           
HN3         2    H  N 1 3
 2     37.9766  -14.707    0.314935  -0.0815814  0.00753253           
C2S         2    C  S 2 1
 2     13.6087   -3.49198  0.824013  -0.121341   0.00626879           
ZrC2         2   C Zr 2 1
 2     27.7249  -14.5345   0.392034  -0.0538324  0.00268096           
NH2-         3   H  N el 2 1 1
 2     35.5383  -11.9959   0.693448  -0.0873492  0.00417317           
NO-         3    N  O el 1 1 1
 2     23.6256  -10.0651   0.684604  -0.0893711  0.00433949           
