vacuum
lam[mu]  n       k  
      0.23659197      1.00000      0.00000
      0.23768403      1.00000      0.00000
      0.23878113      1.00000      0.00000
      0.23988329      1.00000      0.00000
      0.24099054      1.00000      0.00000
      0.24210290      1.00000      0.00000
      0.24322040      1.00000      0.00000
      0.24434306      1.00000      0.00000
      0.24547089      1.00000      0.00000
      0.24660393      1.00000      0.00000
      0.24774221      1.00000      0.00000
      0.24888573      1.00000      0.00000
      0.25003454      1.00000      0.00000
      0.25118864      1.00000      0.00000
      0.25234808      1.00000      0.00000
      0.25351286      1.00000      0.00000
      0.25468303      1.00000      0.00000
      0.25585859      1.00000      0.00000
      0.25703958      1.00000      0.00000
      0.25822602      1.00000      0.00000
      0.25941794      1.00000      0.00000
      0.26061535      1.00000      0.00000
      0.26181830      1.00000      0.00000
      0.26302680      1.00000      0.00000
      0.26424088      1.00000      0.00000
      0.26546056      1.00000      0.00000
      0.26668587      1.00000      0.00000
      0.26791683      1.00000      0.00000
      0.26915348      1.00000      0.00000
      0.27039584      1.00000      0.00000
      0.27164393      1.00000      0.00000
      0.27289778      1.00000      0.00000
      0.27415742      1.00000      0.00000
      0.27542287      1.00000      0.00000
      0.27669416      1.00000      0.00000
      0.27797133      1.00000      0.00000
      0.27925438      1.00000      0.00000
      0.28054336      1.00000      0.00000
      0.28183829      1.00000      0.00000
      0.28313920      1.00000      0.00000
      0.28444611      1.00000      0.00000
      0.28575905      1.00000      0.00000
      0.28707806      1.00000      0.00000
      0.28840315      1.00000      0.00000
      0.28973436      1.00000      0.00000
      0.29107171      1.00000      0.00000
      0.29241524      1.00000      0.00000
      0.29376497      1.00000      0.00000
      0.29512092      1.00000      0.00000
      0.29648314      1.00000      0.00000
      0.29785164      1.00000      0.00000
      0.29922646      1.00000      0.00000
      0.30060763      1.00000      0.00000
      0.30199517      1.00000      0.00000
      0.30338912      1.00000      0.00000
      0.30478950      1.00000      0.00000
      0.30619634      1.00000      0.00000
      0.30760968      1.00000      0.00000
      0.30902954      1.00000      0.00000
      0.31045596      1.00000      0.00000
      0.31188896      1.00000      0.00000
      0.31332857      1.00000      0.00000
      0.31477483      1.00000      0.00000
      0.31622777      1.00000      0.00000
      0.31768741      1.00000      0.00000
      0.31915379      1.00000      0.00000
      0.32062693      1.00000      0.00000
      0.32210688      1.00000      0.00000
      0.32359366      1.00000      0.00000
      0.32508730      1.00000      0.00000
      0.32658783      1.00000      0.00000
      0.32809529      1.00000      0.00000
      0.32960971      1.00000      0.00000
